Sphenisciformes
Podicipediformes
Pelecaniformes
Ciconiiformes
Phoenicopteriformes
Anseriformes
Falconiformes
Galliformes
Charadriiformes
Gruiformes
Pteroclidiformes
Columbiformes
Psittaciformes
Cuculiformes
Strigiformes
Caprimulgiformes
Apodiformes
Trogoniformes
Passeriformes
Coliiformes
Coraciiformes
Piciformes

Order: Sphenisciformes   Family: Spheniscidae
Order: Podicipediformes   Family: Podicipedidae
Order: Procellariiformes   Family: Diomedeidae
Order: Procellariiformes   Family: Procellariidae
Order: Procellariiformes   Family: Hydrobatidae
Order: Procellariiformes   Family: Pelecanoididae
Order: Pelecaniformes   Family: Phaethontidae
Order: Pelecaniformes   Family: Sulidae
Order: Pelecaniformes   Family: Phalacrocoracidae
Order: Pelecaniformes   Family: Anhingidae
Order: Pelecaniformes   Family: Fregatidae
Order: Pelecaniformes   Family: Pelecanidae
Order: Ciconiiformes   Family: Ardeidae
Order: Ciconiiformes   Family: Ciconiidae
Order: Phoenicopteriformes   Family: Phoenicopteridae
Order: Ciconiiformes   Family: Threskiornithidae
Order: Pelecaniformes   Family: Scopidae
Order: Anseriformes   Family: Anatidae
Order: Falconiformes   Family: Pandionidae
Order: Falconiformes   Family: Accipitridae
Order: Falconiformes   Family: Falconidae
Order: Galliformes   Family: Phasianidae
Order: Struthioniformes   Family: Struthionidae
Order: Galliformes   Family: Numididae
Order: Charadriiformes   Family: Turnicidae
Order: Gruiformes   Family: Rallidae
Order: Gruiformes   Family: Heliornithidae
Order: Charadriiformes   Family: Jacanidae
Order: Gruiformes   Family: Gruidae
Order: Falconiformes   Family: Sagittariidae
Order: Gruiformes   Family: Otididae
Order: Charadriiformes   Family: Dromadidae
Order: Charadriiformes   Family: Haematopodidae
Order: Charadriiformes   Family: Recurvirostridae
Order: Charadriiformes   Family: Charadriidae
Order: Charadriiformes   Family: Scolopacidae
Order: Charadriiformes   Family: Rostratulidae
Order: Charadriiformes   Family: Glareolidae
Order: Charadriiformes   Family: Burhinidae
Order: Charadriiformes   Family: Stercorariidae
Order: Charadriiformes   Family: Chionididae
Order: Charadriiformes   Family: Laridae
Order: Charadriiformes   Family: Rhynchopidae
Order: Charadriiformes   Family: Sternidae
Order: Pteroclidiformes   Family: Pteroclididae
Order: Columbiformes   Family: Columbidae
Order: Psittaciformes   Family: Psittacidae
Order: Cuculiformes   Family: Musophagidae
Order: Cuculiformes   Family: Cuculidae
Order: Strigiformes   Family: Tytonidae
Order: Strigiformes   Family: Strigidae
Order: Caprimulgiformes   Family: Caprimulgidae
Order: Apodiformes   Family: Apodidae
Order: Trogoniformes   Family: Trogonidae
Order: Passeriformes   Family: Pittidae
Order: Passeriformes   Family: Eurylaimidae
Order: Coliiformes   Family: Coliidae
Order: Coraciiformes   Family: Alcedinidae
Order: Coraciiformes   Family: Halcyonidae
Order: Coraciiformes   Family: Cerylidae
Order: Coraciiformes   Family: Meropidae
Order: Coraciiformes   Family: Coraciidae
Order: Coraciiformes   Family: Bucerotidae
Order: Coraciiformes   Family: Upupidae
Order: Coraciiformes   Family: Phoeniculidae
Order: Piciformes   Family: Indicatoridae
Order: Piciformes   Family: Capitonidae
Order: Piciformes   Family: Picidae
Order: Passeriformes   Family: Alaudidae
Order: Passeriformes   Family: Hirundinidae
Order: Passeriformes   Family: Dicruridae
Order: Passeriformes   Family: Muscicapidae
Order: Passeriformes   Family: Campephagidae
Order: Passeriformes   Family: Oriolidae
Order: Passeriformes   Family: Corvidae
Order: Passeriformes   Family: Paridae
Order: Passeriformes   Family: Remizidae
Order: Passeriformes   Family: Certhiidae
Order: Passeriformes   Family: Leiothrichidae
Order: Passeriformes   Family: Pycnonotidae
Order: Passeriformes   Family: Turdidae
Order: Passeriformes   Family: Chaetopidae
Order: Passeriformes   Family: Macrosphenidae
Order: Passeriformes   Family: Locustellidae
Order: Passeriformes   Family: Sylviidae
Order: Passeriformes   Family: Acrocephalidae
Order: Passeriformes   Family: Phylloscopidae
Order: Passeriformes   Family: Stenostiridae
Order: Passeriformes   Family: Cisticolidae
Order: Passeriformes   Family: Zosteropidae
Order: Passeriformes   Family: Platysteiridae
Order: Passeriformes   Family: Motacillidae
Order: Passeriformes   Family: Laniidae
Order: Passeriformes   Family: Prionopidae
Order: Passeriformes   Family: Malaconotidae
Order: Passeriformes   Family: Sturnidae
Order: Passeriformes   Family: Buphaginae
Order: Passeriformes   Family: Promeropidae
Order: Passeriformes   Family: Nectariniidae (which includes spiderhunters in Asia)
Order: Passeriformes   Family: Passeridae
Order: Passeriformes   Family: Ploceidae
Order: Passeriformes   Family: Estrildidae
Order: Passeriformes   Family: Fringillidae
Order: Passeriformes   Family: Emberizidae
